Course No,Credits,Semester
CH101,8,1
CH110,3,1
EE101,8,1
MA101,8,1
CE101,7,1
PH101,6,1
PH110,3,1
HS101,3,1
B101,6,2
CS101,6,2
CS110,3,2
EE102,3,2
MA102,8,2
ME101,8,2
PH102,9,2
ME110,3,2
SA101,0,2
MA222,6,3
MA225,6,3
CS201,6,3
CS203,8,3
CS204,6,3
CS221,6,3
CS242,5,3
SA201,0,3
HS200,6,3
CS205,6,4
CS207,6,4
CS223,6,4
CS224,6,4
CS245,6,4
CS246,4,4
HS102,6,4
SA301,0,4
MA321,6,5
CS341,6,5
CS342,4,5
CS343,6,5
CS344,4,5
CS501,6,5
HS103,6,5
SA401,0,5
CS345,4,6
CS346,3,6
CS348,7,6
CS361,6,6
CS502,6,6
CS503,6,6
CS504,5,6
CS506,6,7
CS507,6,7
CS508,6,7
CS509,6,7
CS510,6,7
CS498,12,7
HS202,6,7
CS511,6,8
CS520,6,8
CS521,6,8
CS522,6,8
CS523,6,8
CS499,12,8
HS203,6,8
