Roll Number,Course No,Grade,Semester
270101001,CH101,BC,Aug 2027 - Dec 2027
270101001,CH110,AB,Aug 2027 - Dec 2027
270101001,EE101,AB,Aug 2027 - Dec 2027
270101001,MA101,BB,Aug 2027 - Dec 2027
270101001,CE101,DD,Aug 2027 - Dec 2027
270101001,PH101,AA,Aug 2027 - Dec 2027
270101001,PH110,AA,Aug 2027 - Dec 2027
270101001,HS101,PP,Jan 2028 - Apr 2028
270101001,BT101,CD,Jan 2028 - Apr 2028
270101001,CS101,AA,Jan 2028 - Apr 2028
270101001,CS110,BB,Jan 2028 - Apr 2028
270101001,EE102,BC,Jan 2028 - Apr 2028
270101001,MA102,CD,Jan 2028 - Apr 2028
270101001,ME101,CC,Jan 2028 - Apr 2028
270101001,PH102,CC,Jan 2028 - Apr 2028
270101001,ME110,CD,Jan 2028 - Apr 2028
270101001,SA101,PP,Jan 2028 - Apr 2028
270101001,MA222,CD,Aug 2028 - Dec 2028
270101001,MA225,BB,Aug 2028 - Dec 2028
270101001,CS201,DD,Aug 2028 - Dec 2028
270101001,CS203,BC,Aug 2028 - Dec 2028
270101001,CS204,BB,Aug 2028 - Dec 2028
270101001,CS221,AA,Aug 2028 - Dec 2028
270101001,CS242,AA,Aug 2028 - Dec 2028
270101001,SA201,PP,Aug 2028 - Dec 2028
270101001,HS200,AB,Aug 2028 - Dec 2028
270101001,CS205,CD,Jan 2029 - Apr 2029
270101001,CS207,AA,Jan 2029 - Apr 2029
270101001,CS223,AB,Jan 2029 - Apr 2029
270101001,CS224,DD,Jan 2029 - Apr 2029
270101001,CS245,DD,Jan 2029 - Apr 2029
270101001,CS246,CD,Jan 2029 - Apr 2029
270101001,HS102,BB,Jan 2029 - Apr 2029
270101001,SA301,PP,Jan 2029 - Apr 2029
270101001,MA321,BB,Aug 2029 - Dec 2029
270101001,CS341,CD,Aug 2029 - Dec 2029
270101001,CS342,BB,Aug 2029 - Dec 2029
270101001,CS343,CC,Aug 2029 - Dec 2029
270101001,CS344,DD,Aug 2029 - Dec 2029
270101001,CS501,CD,Aug 2029 - Dec 2029
270101001,HS103,AB,Aug 2029 - Dec 2029
270101001,SA401,PP,Aug 2029 - Dec 2029
270101001,CS345,DD,Jan 2030 - Apr 2030
270101001,CS346,CD,Jan 2030 - Apr 2030
270101001,CS348,BC,Jan 2030 - Apr 2030
270101001,CS361,AB,Jan 2030 - Apr 2030
270101001,CS502,AA,Jan 2030 - Apr 2030
270101001,CS503,BC,Jan 2030 - Apr 2030
270101001,CS504,DD,Jan 2030 - Apr 2030
270101001,CS506,CC,Aug 2030 - Dec 2030
270101001,CS507,AA,Aug 2030 - Dec 2030
270101001,CS508,BB,Aug 2030 - Dec 2030
270101001,CS509,AB,Aug 2030 - Dec 2030
270101001,CS510,CD,Aug 2030 - Dec 2030
270101001,CS498,AB,Aug 2030 - Dec 2030
270101001,HS202,DD,Aug 2030 - Dec 2030
270101001,CS511,CC,Jan 2031 - Apr 2031
270101001,CS520,AA,Jan 2031 - Apr 2031
270101001,CS521,BC,Jan 2031 - Apr 2031
270101001,CS522,BC,Jan 2031 - Apr 2031
270101001,CS523,AB,Jan 2031 - Apr 2031
270101001,CS499,AA,Jan 2031 - Apr 2031
270101001,HS203,DD,Jan 2031 - Apr 2031
270101002,CH101,BB,Aug 2027 - Dec 2027
270101002,CH110,BC,Aug 2027 - Dec 2027
270101002,EE101,CC,Aug 2027 - Dec 2027
270101002,MA101,CC,Aug 2027 - Dec 2027
270101002,CE101,CC,Aug 2027 - Dec 2027
270101002,PH101,CC,Aug 2027 - Dec 2027
270101002,PH110,AA,Aug 2027 - Dec 2027
270101002,HS101,PP,Jan 2028 - Apr 2028
270101002,BT101,AB,Jan 2028 - Apr 2028
270101002,CS101,BC,Jan 2028 - Apr 2028
270101002,CS110,CC,Jan 2028 - Apr 2028
270101002,EE102,AB,Jan 2028 - Apr 2028
270101002,MA102,DD,Jan 2028 - Apr 2028
270101002,ME101,AA,Jan 2028 - Apr 2028
270101002,PH102,CC,Jan 2028 - Apr 2028
270101002,ME110,AA,Jan 2028 - Apr 2028
270101002,SA101,PP,Jan 2028 - Apr 2028
270101002,MA222,BB,Aug 2028 - Dec 2028
270101002,MA225,BB,Aug 2028 - Dec 2028
270101002,CS201,BB,Aug 2028 - Dec 2028
270101002,CS203,BC,Aug 2028 - Dec 2028
270101002,CS204,BC,Aug 2028 - Dec 2028
270101002,CS221,BB,Aug 2028 - Dec 2028
270101002,CS242,CC,Aug 2028 - Dec 2028
270101002,SA201,PP,Aug 2028 - Dec 2028
270101002,HS200,BB,Aug 2028 - Dec 2028
270101002,CS205,DD,Jan 2029 - Apr 2029
270101002,CS207,DD,Jan 2029 - Apr 2029
270101002,CS223,BC,Jan 2029 - Apr 2029
270101002,CS224,BC,Jan 2029 - Apr 2029
